,Tweet Count,Username,Text,Created At,Retweets,Likes
4693,4694,VOA Indonesia,kota surabaya program mbg januari sekolah ribu siswa dipilih percontohan siswa orang tua menyambut positif program pengelola kantin sekolah khawatir kehilangan pendapatan,Thu Jan 16 04:00:09 +0000 2025,0,0
4694,4695,VOA Indonesia,gengs pemerintah melibatkan kantin sekolah program makan bergizi gratis mbg berjalan pengusaha kantin sekolah mengeluh dagangannya menurun akibat program nasional baca yuk,Thu Jan 16 04:00:03 +0000 2025,1,3
4695,4696,DetikFinance,pemerintah menjalankan program mbg sekolah indonesia nih detikers muncul kritik program presiden prabowo subianto gt gt detikfinance luhutbinsarpandjaitan mbg makanbergizigratis,Thu Jan 16 04:00:00 +0000 2025,0,0
4696,4697,Metrojambi.com,penggunaan dana zakat program mbg istana memalukan,Thu Jan 16 03:58:20 +0000 2025,0,0
4697,4698,nDhog amoen - amoen,program mbg carut marut depannya keuangan distribusi nya hasilnya tdk sebanding dg potensi kerugian penyalahgunaan dll,Thu Jan 16 03:56:21 +0000 2025,0,0
4698,4699,detikcom,pemerintah luncurkan program makan bergizi gratis mbg pemenuhan gizi pelaku usaha kantin sekolah mengalami penurunan pendapatan,Thu Jan 16 03:56:00 +0000 2025,8,16
4699,4700,Baron Ben,wamensos program makan bergizi gratis tingkatkan kekuatan pikiran siswa mbg dukungprogrampresiden,Thu Jan 16 03:54:25 +0000 2025,0,2
4700,4701,Gregorius Adi,program mbg terbukti menciptakan ratusan menyelesaikan salah dampak ribuan,Thu Jan 16 03:53:45 +0000 2025,0,0
4701,4702,֪֪,program ikn nasibnya gmna mbg udh keliatan org org bahas ikn,Thu Jan 16 03:52:07 +0000 2025,0,0
4702,4703,Suaragong_,wakil ketua dpr ri tekankan pengawasan amp transparansi program mbg,Thu Jan 16 03:51:44 +0000 2025,0,0
4703,4704,Energi Juang News,pandangannya terkait penggunaan dana zakat program mbg putranto dana zakat memiliki peruntukan berbeda geraknews putranto zakat ceasefire chuangasias survivingbarstool bbmzansi,Thu Jan 16 03:50:47 +0000 2025,0,2
4704,4705,Emon Lusk,modal kampanye bansos mbg kip pilih program sy hentikan,Thu Jan 16 03:47:55 +0000 2025,0,0
4705,4706,Negerinya Pejabat2 Munafik&Koruptor,tdk spatutnya membiayai program mbg mrp program utama pemerintah diambil dana zakat sjatinya khusus diperuntukkan membantu fakir miskin kperluan bantu umat keagaman dll anggaran mbg hrs diambil apbn,Thu Jan 16 03:44:03 +0000 2025,0,1
4706,4707,Nova,mending gaji sm tunjangannya potong program mbg,Thu Jan 16 03:42:21 +0000 2025,0,0
4707,4708,Akuratco,istana tolak usulan pakai dana zakat makan bergizi gratis kepala kantor staf kepresidenan ksp am putranto pemerintah dana zakat pembiayaan program makan bergizi gratis mbg putranto merespons,Thu Jan 16 03:36:51 +0000 2025,8,4
4708,4709,Negerinya Pejabat2 Munafik&Koruptor,program mbg sjatinya bagus selera makan anak jdi lbih mningkat kurangi jajan anak kurangi kesenjangan sosial tggal bgmn pemerintah mngatur ketersediaan amp pengelolaan anggaran dg amp jg penyediaan mbg sesuai dg kecukupan gizi nutrisi,Thu Jan 16 03:30:22 +0000 2025,0,0
4709,4710,NusaBali.com,menteri koperasi budi arie setiadi merekomendasikan gabungan koperasi produsen tempe indonesia gakoptindo memasok bahan baku program makan bergizi gratis mbg,Thu Jan 16 03:27:53 +0000 2025,0,0
4710,4711,Sarsarahah🥢,imbasnya vendor umkm daerah daerah dituntut menyajikan budget k jatuhnya toxic karna giring opini emang program mbg bilang mbg,Thu Jan 16 03:26:22 +0000 2025,0,1
